Vintage	Title	Region	Country	"FoodSuggestion
"	Selling story	ABV	Size	ResturantPrice	CaseSalePrice	IndividualSalePrice	MilkUsed	EggUsed	Sulphites	Vegetarian	Vegan	Organic	Biodynamic	WineType
NV	"Lambrusco Rosso Secco 'La Favorita', Reggiano, Medici Ermete"	Emilia Romagna	Italy	"A slightly-sparkling red wine, which showcases red fruit aromas combined with hints
of violet. Fresh on the palate with a rich harmonious body and crisp raspberry and
blackcurrant flavours on the delicate finish."	"Gold, Mondus Vini, 2016"	11	750	£25.00	£64.20	£10.70	Yes	Yes	Yes	No	No	No		WhiteWine
NV	"Prosecco Extra Dry, Amata"	Veneto	Italy	"Classic and stylish Prosecco, with delicate aromas of green apple, succulent pear
and lifted citrus notes. Balanced, with fine bubbles and an attractively crisp finish"		11	750	£25.00	£70.50	£11.75	No	No	Yes	Yes	Yes	No		WhiteWine
NV	"Cava '+ & + Seleccion' Brut, Bodegas Pinord"	Catalonia	Spain	"A fresh, light and enjoyable wine, with refreshing citrus notes leading to a delightful
and elegant finish.
"	"Silver, SWA, 2018"	11.5	750	£28.50	£68.70	£11.45	No	No	Yes	Yes	Yes	No	No	WhiteWine
NV	"Extra Brut, Leyda Valley, Undurraga"	Valle de Leyda	Chile	"This fresh, vibrant Blanc de Blancs is pale golden in colour with fine, persistent
bubbles. The nose reveals delicate aromas of citrus blossom and white floral notes
over a mineral background. Pleasantly creamy mouthfeel with notes of brioche
through to an exceptionally long finish."		12.5	750	£30.00	£80.70	£13.45	No	No	Yes	No	No	No	No	WhiteWine
NV	"Champagne Bernard Remy, Brut 'Carte Blanche'"	Champagne	France	"Lively and intense with a delicate and persistent mousse, refreshing notes of lime and
lemon combine with floral nuances, honey and a touch of mint on the palate. This
champagne blossoms with complexity and finesse.
"	"Silver, IWSC, 2016
Silver Outstanding, IWSC,
2017
90 Pts, Wine Spectator , 2018
Silver, SWA, 2018
Silver, DWWA, 2019"	12	750	£45.00	£140.70	£23.45	No	No	Yes	Yes	Yes	No	No	WhiteWine
NV	"Goring Blanc de Blancs 'Family Release', Sussex, Wiston Estate"	Sussex	England	"An elegant and complex expression of the exceptional chalky terroir from which it
hails, it has delicious notes of grapefruit, lemon zest, orange blossom and crushed
oyster shells complemented by a racy acidity.
"		12	750	£60.00	£195.00	£32.50	No	No	Yes	Yes	Yes	No	No	WhiteWine
NV	"Crémant de Limoux 'Ballerine' Rosé, Gérard Bertrand"	Languedoc-Roussillon	France	"There's a lovely top-note of strawberries and cream throughout the nose and mouth of this sparkling wine, with additional glimmers of ripe yellow melon and clementine. The palate is fresh and lively, with a pithy texture that's balanced by bright acidity and snappy red currant and cherry tones that unfold on the finish"		13	750	£70.00	£222.00	£37.00			Yes			No		WhiteWine
2017	"Chardonnay, South East Australia, Boundary Line"	South Eastern Australia	Australia	"Concentrated, fruity aromas of citrus and melon lead to a soft, delicate palate with
gentle hints of oak to add complexity.
"		12.5	750	£18.00	£47.94	£7.99	No	No	Yes	Yes	Yes	No	No	WhiteWine
2018	"Unoaked Chardonnay 'Foundstone', South Eastern Australia, Berton Vineyard"	South Eastern Australia	Australia	"Vibrant aromas of white rose, vanilla and toasted nutmeg carry to a soft and fruity
palate. A fusion of peach, mango and mandarin envelope the palate with subtle
nuances of vanilla and cream. A lovely line of acidity throughout leads to a long and
tasty finish.
"		12.5	750	£20.00	£48.30	£8.05	No	No	Yes	No	No	No	No	WhiteWine
2018	"Sauvignon Blanc 'The Nest', Marlborough, Lake Chalice"	Marlborough	New Zealand	"A clear, bright wine with lifted aromas of apricot kernel, gooseberry and sweet
grapefruit. The vibrant palate delivers crisp citrus flavours supported by blackcurrant
and soft tropical notes through to a lovely, fresh finish."		12.5	750	£30.00	£70.50	£11.75	No	No	Yes	No	No	No	No	WhiteWine
